time	level
202210	0.268
202211	0.154
202212	0.081
202301	0.045
202302	0.088
202303	0.096
202304	0.193
202305	-
202306	-
202307	-
202308	-
202309	-
202310	-
202311	-
202312	-
