time	level
1976
	2	0.2190256882372168
	3	0.24209677941032748
	4	0.2915645078147904
	5	0.2864784592111427
	6	0.3250910888820764
	7	0.3718188094026793
	8	0.40446143816393665
	9	0.38374859252920235
	10	0.36109321314380693
	11	0.28307960001212784
	12	0.23134544437668758
2025
	1	0.1992878618909808
	2	0.22220037465171227
	3	0.24498941069846225
	4	0.29511062669932553
	5	0.28936007668231145
	6	0.32785285318167645
	7	0.37456132226448613
	8	0.40766032027330645
	9	0.3864038354632102
	10	0.36434299499004474
	11	0.286465250379873
	12	0.2348607926309514
2026
	1	0.20258648828034254
	2	0.22537506106620775
	3	0.2478820419865979
	4	0.2986567455838607
	5	0.29224169415347934
	6	0.3306146174812765
	7	0.37730383512629295
	8	0.41085920238267626
	9	0.3890590783972181
	10	0.36759277683628255
	11	0.2898509007476182
	12	0.23837614088521608
2027
	1	0.20588511466970338
	2	0.22854974748070322
	3	0.2507746732747327
	4	0.30220286446839584
	5	0.2951233116246481
	6	0.3333763817808766
	7	0.3800463479880998
	8	0.41405808449204606
	9	0.39171432133122597
	10	0.37084255868252036
	11	0.2932365511153625
	12	0.24189148913948078
2028
	1	0.20918374105906512
	2	0.2317244338951987
	3	0.25366730456286746
	4	0.305748983352931
	5	0.298004929095816
	6	0.33613814608047665
	7	0.3827888608499066
	8	0.41725696660141676
	9	0.39436956426523473
	10	0.37409234052875817
	11	0.2966222014831077
	12	0.24540683739374547
2029
	1	0.21248236744842686
	2	0.23489912030969418
	3	0.25655993585100223
	4	0.30929510223746615
	5	0.30088654656698477
	6	0.3388999103800767
	7	0.3855313737117134
	8	0.42045584871078656
	9	0.3970248071992426
	10	0.377342122374996
	11	0.3000078518508529
	12	0.24892218564801016
2030
	1	0.2157809938377886
	2	0.23807380672418965
	3	0.259452567139137
	4	0.3128412211220013
	5	0.30376816403815265
	6	0.3416616746796768
	7	0.38827388657351936
	8	0.42365473082015637
	9	0.3996800501332505
	10	0.3805919042212338
	11	0.30339350221859807
	12	0.25243753390227397
2031
	1	0.21907962022714944
	2	0.24124849313868513
	3	0.2623451984272718
	4	0.31638734000653645
	5	0.30664978150932143
	6	0.34442343897927685
	7	0.3910163994353262
	8	0.42685361292952617
	9	0.40233529306725835
	10	0.3838416860674716
	11	0.30677915258634236
	12	0.25595288215653866
2032
	1	0.22237824661651118
	2	0.2444231795531806
	3	0.26523782971540655
	4	0.3199334588910716
	5	0.3095313989804893
	6	0.3471852032788769
	7	0.393758912297133
	8	0.43005249503889686
	9	0.4049905360012671
	10	0.3870914679137094
	11	0.31016480295408755
	12	0.25946823041080336
2033
	1	0.2256768730058729
	2	0.24759786596767608
	3	0.2681304610035413
	4	0.32347957777560676
	5	0.3124130164516581
	6	0.349946967578477
	7	0.3965014251589398
	8	0.43325137714826667
	9	0.407645778935275
	10	0.3903412497599472
	11	0.31355045332183273
	12	0.26298357866506805
2034
	1	0.22897549939523465
	2	0.25077255238217155
	3	0.2710230922916761
	4	0.3270256966601419
	5	0.315294633922826
	6	0.35270873187807705
	7	0.39924393802074665
	8	0.4364502592576365
	9	0.41030102186928286
	10	0.393591031606185
	11	0.31693610368957703
	12	0.26649892691933275
2035
	1	0.2322741257845955
	2	0.25394723879666703
	3	0.27391572357981087
	4	0.3305718155446771
	5	0.31817625139399475
	6	0.3554704961776771
	7	0.40198645088255347
	8	0.4396491413670063
	9	0.41295626480329073
	10	0.39684081345242284
	11	0.3203217540573222
	12	0.27001427517359655
2036
	1	0.23557275217395723
	2	0.2571219252111625
	3	0.27680835486794564
	4	0.3341179344292122
	5	0.32105786886516263
	6	0.3582322604772772
	7	0.4047289637443603
	8	0.4428480234763761
	9	0.4156115077372986
	10	0.40009059529866065
	11	0.3237074044250674
	12	0.27352962342786125
2037
	1	0.23887137856331897
	2	0.260296611625658
	3	0.2797009861560804
	4	0.3376640533137474
	5	0.3239394863363314
	6	0.36099402477687725
	7	0.4074714766061671
	8	0.4460469055857468
	9	0.41826675067130736
	10	0.40334037714489845
	11	0.3270930547928117
	12	0.27704497168212594
2038
	1	0.2421700049526807
	2	0.26347129804015434
	3	0.2825936174442152
	4	0.34121017219828254
	5	0.3268211038074993
